DTYYYYMMDD,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,OPENINT,OPENINT
20090615,9310.1,9310.1,9299,9299,81531960,1.00E+11,10344,9310.3
20090616,9295.6,9295.6,9270.8,9271.1,50257544,75307770668,5615,9299
20090617,9266.2,9266.2,9247.2,9247.2,50503100,82259449645,8432,9271.1
20090620,9245.7,9249.8,9242.3,9247.7,26358824,50691305664,4549,9247.2
20090621,9252.1,9258.5,9248.1,9258.4,30161849,62064519626,6676,9247.7
20090622,9262.2,9264.2,9249.6,9251.8,69662800,1.17E+11,9938,9258.4
20090623,9253.6,9342.7,9253.6,9340,86919859,1.93E+11,8902,9251.8
20090624,9340.2,9349.2,9338.1,9338.6,76545730,1.16E+11,8747,9340
20090627,9338.1,9342.9,9337.5,9342.6,91722450,1.30E+11,19229,9338.6
20090628,9340.3,9360.7,9340.3,9353.7,99694125,1.63E+11,19301,9342.6
20090629,9356.7,9364.1,9356.4,9360.1,58011166,1.18E+11,13076,9353.7
20090630,9366.2,9387.9,9365.2,9387.6,45911056,90888991874,10780,9360.1
20090701,9397.7,9480,9397.7,9471,65592895,1.31E+11,12458,9387.6
20090704,9472.6,9486,9470.4,9470.4,62686622,1.05E+11,9325,9471
20090705,9457.8,9463.9,9452.7,9452.7,75997798,1.64E+11,11073,9470.4
20090707,9456.1,9463.1,9456.1,9457.9,35183732,85749989976,5488,9452.7
20090711,9461.8,9465.4,9438.4,9438.5,65364787,1.11E+11,9021,9457.9
20090712,9436.8,9441.9,9415.8,9415.8,114059556,1.82E+11,9817,9438.5
20090713,9415.8,9416.2,9349,9352.8,72358357,1.73E+11,10942,9415.8
20090714,9354.2,9379.2,9354.2,9374,177804729,2.47E+11,10625,9352.8
20090715,9375.4,9401.1,9375.4,9394.6,202567911,2.89E+11,8106,9374
20090718,9403.4,9442.4,9403.4,9442.2,139355749,1.90E+11,4786,9394.6
20090719,9443.7,9474.6,9443.6,9474.5,39350571,76426729706,5682,9442.2
20090721,9478.7,9511.1,9475.1,9511.1,28961704,56673709641,5560,9474.5
20090722,9519.2,9525.4,9519.2,9522.2,27516369,60966210758,5219,9511.1
20090725,9521.7,9524.2,9521.1,9522.9,32346070,50708800321,4321,9522.2
20090726,9523.5,9563.4,9523,9530.3,122922718,1.61E+11,11494,9522.9
20090727,9529.8,9703.7,9520.5,9703.7,115285756,1.72E+11,11090,9530.3
20090728,9723,9731.6,9722.4,9727.1,138017171,2.06E+11,10818,9703.7
20090729,9733.3,9767.8,9733.3,9765.6,332737281,4.63E+11,18869,9727.1
20090801,9777.6,9812,9777.6,9811.2,94924309,1.70E+11,9895,9765.6
20090802,9819.3,9831.4,9819.3,9831.2,86135765,1.54E+11,12067,9811.2
20090803,9835.7,9838.9,9834,9835,97627341,1.68E+11,10993,9831.2
20090804,9834.7,9864.7,9833.8,9861.1,172813144,3.73E+11,27658,9835
20090805,9863.8,9905,9863.8,9904.4,108321647,2.95E+11,11989,9861.1
20090808,9910.4,9999,9910.4,9999,76802541,1.57E+11,11405,9904.4
20090809,10002.1,10044,10002.1,10044,80305952,1.60E+11,9483,9999
20090810,10048.3,10117.6,10048.3,10114.2,239373686,5.29E+11,28001,10044
20090811,10130.7,10141.6,10127.6,10139.4,113829065,2.26E+11,16540,10114.2
20090812,10145.5,10194.2,10145.5,10194,137382159,2.66E+11,13887,10139.4
20090815,10208.7,10251.2,10208.7,10250.8,53454012,1.44E+11,8932,10194
20090816,10294.2,10333.5,10294.2,10333.2,210564541,4.64E+11,21595,10250.8
20090817,10337.1,10405.4,10337.1,10405.4,143724492,3.27E+11,16773,10333.2
20090818,10426.3,10449.1,10426.3,10442.5,148140002,3.07E+11,16934,10405.4
20090819,10462.7,10476.3,10462.7,10472.4,87213292,2.01E+11,10660,10442.5
20090822,10488.9,10555.4,10488.9,10555.4,63635334,1.39E+11,10031,10472.4
20090823,10562.5,10612.2,10562.5,10612.2,99642607,2.18E+11,11507,10555.4
20090824,10626.1,10686.1,10626.1,10686.1,115415531,2.81E+11,13961,10612.2
20090825,10699.6,10983.9,10699.6,10983.6,319262052,7.86E+11,28753,10686.1
20090826,11013.3,11730,11013.3,11576.9,256256081,6.39E+11,25270,10983.6
20090829,11624.9,11738.1,11598.1,11734.4,343162726,1.35E+12,36159,11576.9
20090830,11741,11747.7,11691.8,11693.5,143905612,3.48E+11,19887,11734.4
20090831,11693.1,11694.2,11663.4,11688.3,267124976,1.12E+12,25732,11693.5
20090901,11695.8,11741,11695.8,11741,116253824,2.86E+11,15953,11688.3
20090902,11756.9,11762.1,11746.4,11747.2,115841451,2.63E+11,17274,11741
20090905,11750.8,11750.9,11652.9,11678.5,134673546,3.29E+11,21572,11747.2
20090906,11673.9,11673.9,11634.3,11634.5,95644468,2.17E+11,15352,11678.5
20090907,11615.9,11615.9,11573.7,11589.7,55905816,1.37E+11,9064,11634.5
20090908,11601.6,11639,11598.4,11639,78097448,1.81E+11,14253,11589.7
20090909,11643,11701.7,11643,11696.5,84503364,1.83E+11,13783,11639
20090912,11648.1,11696.5,11696.5,11696.5,0,0,0,11696.5
20090913,11657.1,11657.1,11638.4,11638.4,58475997,1.28E+11,9548,11696.5
20090914,11582,11604.8,11580.9,11598.7,151227850,2.75E+11,16248,11638.4
20090915,11593.9,11593.9,11523.6,11523.6,63513935,1.42E+11,9558,11598.7
20090916,11468.1,11468.7,11460.6,11461.1,58939201,1.28E+11,9292,11523.6
20090919,11461.1,11461.1,11412.5,11437,104230275,2.94E+11,8759,11461.1
20090921,11437,11452.8,11436.6,11451.8,111222842,2.00E+11,9854,11437
